"","Graph size","Edge fraction","Max Degree","Mean Degree","Distinct Cliques >= l","Max Clique Size"
"1",3536,0.0109229297202506,196,38.612556561086,69,24
"2",3536,0.011618463074491,205,41.0712669683258,81,19
"3",3536,0.0115794223249086,189,40.933257918552,81,37
"4",3536,0.0107986073332608,202,38.1730769230769,70,28
"5",3536,0.0120520713997709,214,42.60407239819,78,33
"6",3536,0.0125818415713582,231,44.4768099547511,88,30
"7",3536,0.0109181296280889,195,38.5955882352941,70,21
"8",3536,0.0117581457563985,211,41.5650452488688,70,33
"9",3536,0.0113285375079202,198,40.0463800904977,73,22
"10",3536,0.0105045216868164,182,37.1334841628959,70,23
