"","V1","V2"
"1",11.0567765666582,NA
"2",-117.927755184059,NA
"3",-372.478260890763,NA
"4",14.4175831154956,NA
"5",-39.9022113416739,NA
"6",-33.8282483780975,NA
"7",-42.7077104861205,NA
"8",-1095.60715170968,NA
"9",240.741891787136,NA
"10",316.94529494779,NA
"11",-1233.60688732166,NA
"12",-22.8289183504644,NA
"13",1264.59674128476,NA
"14",1087.21382992862,NA
"15",80.9183675476483,NA
"16",2319.80178265432,NA
"17",11.765783357067,NA
"18",-45.2119073617707,NA
"19",760.115219025316,NA
"20",-139.660101320964,NA
"21",-2034.37818127048,NA
"22",-392.430021734091,NA
"23",407.410502820816,NA
"24",-364.498038716285,NA
"25",239.341732936012,NA
"26",826.797930305848,NA
"27",10.2377792844393,NA
"28",1045.15060463239,NA
"29",442.99449748692,NA
"30",1201.86792090138,NA
"31",-275.616130866529,NA
"32",-51.4536540602413,NA
"33",1164.55777987658,NA
"34",1329.95334960257,NA
"35",-51.3851050589103,NA
"36",167.065613910195,NA
"37",-385.020711167554,NA
"38",-16.2738608266032,NA
"39",312.056926648793,NA
"40",-83.3704187745071,NA
"41",1742.24287394868,NA
"42",112.044249599805,NA
"43",623.350268488862,NA
"44",318.156553302005,NA
"45",3647.61697181189,NA
"46",260.062813995886,NA
"47",239.967180201598,NA
"48",3118.06835400533,NA
"49",-6.333463649597,NA
"50",-4.45125340315186,NA
"51",194.915447642851,NA
"52",-4.15201524892914,NA
"53",-3.97347046297227,NA
"54",310.260191596486,NA
"55",-43.9098619244954,NA
"56",-86.0856260457125,NA
"57",251.036415842643,NA
"58",404.877176794906,NA
"59",-55.4588296230027,NA
"60",2856.87197329728,NA
"61",1503.56381681468,NA
"62",-14.2242931437722,NA
"63",6494.84872852862,NA
"64",1886.13896549515,NA
"65",1121.1932758226,NA
"66",1455.79531742215,NA
"67",463.106446288378,NA
"68",114.183678706413,NA
"69",616.21148206573,NA
"70",-8.51576621370927,NA
"71",26.3575972388932,NA
"72",2632.33452171282,NA
"73",4371.37085106149,NA
"74",-20.6797203083246,NA
"75",9.74699537045683,NA
"76",294.978156219694,NA
"77",1190.92883925992,NA
"78",615.798335841787,NA
"79",-1142.03376901559,NA
"80",2399.39316621297,NA
"81",210.100469964756,NA
"82",45.8564079993274,NA
"83",477.16396828227,NA
"84",7.59204022836828,NA
"85",55.1335608145109,NA
"86",-42.4899513601827,NA
"87",5820.79608813564,NA
"88",1067.65604217406,NA
"89",-250.282978038482,NA
"90",160.86051788147,NA
"91",-7.97675361920961,NA
"92",1665.32681380726,NA
"93",8.1800359020556,NA
"94",-1263.16077296558,NA
"95",592.267507635078,NA
"96",2.20139115611334,NA
"97",15.282100759496,NA
"98",78.3470607543916,NA
"99",-10.1432052061957,NA
"100",-12.9215374279226,NA
